RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Wealth History,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
128,Milane Frantz,$7.4 B,54,Texas,Pipelines,1,ENERGY,1,Pipelines,"Houston, Texas",United States,Married,,"Master of Arts, University of Houston",54,1,"$6.2B : March 2015
$4.1B : March 2016
$5.7B : March 2017
$5.5B : March 2018
$5.9B : March 2019
$3.6B : April 2020
$6B : April 2021
$6.6B : April 2022
$6.8B : April 2023
$7.6B : April 2024
",,,,
128,Don Hankey,$7.4 B,80,California,Auto loans,1,FINANCE & INVESTMENTS,7,"Auto loans, Self Made","Malibu, California",United States,Married,4,"Bachelor of Arts/Science, University of Southern California",81,1,"$2.3B : March 2015
$2.3B : March 2016
$2.5B : March 2017
$2.7B : March 2018
$3.1B : March 2019
$3.1B : April 2020
$3.2B : April 2021
$5.5B : April 2022
$7.2B : April 2023
$7.4B : April 2024
",,,,
128,Ken Langone,$7.4 B,88,New York,Investments,3,FINANCE & INVESTMENTS,9,"Investments, Self Made","Sands Point, New York",United States,Married,3,"Bachelor of Arts/Science, Bucknell University; Master of Business Administration, Leonard N. Stern School of Business",88,3,"$2.6B : March 2015
$2.7B : March 2016
$3B : March 2017
$3.3B : March 2018
$3.4B : March 2019
$3.2B : April 2020
$4.7B : April 2021
$5.8B : April 2022
$5.6B : April 2023
$8.7B : April 2024
",,,,
128,"Edward Roski, Jr.",$7.4 B,84,California,Real estate,1,REAL ESTATE,5,Real estate,"Los Angeles, California",United States,Widowed,3,"Bachelor of Arts/Science, University of Southern California",85,1,"$4B : March 2015
$3.8B : March 2016
$5B : March 2017
$5.4B : March 2018
$5.4B : March 2019
$3.1B : April 2020
$5.5B : April 2021
$5.6B : April 2022
$6.7B : April 2023
$7.1B : April 2024
",,,,
128,Ronda Stryker,$7.4 B,69,Michigan,Medical equipment,3,HEALTHCARE,2,Medical equipment,"Portage, Michigan",United States,Married,3,"Bachelor of Arts/Science, University of Northern Colorado; Master of Arts, Western Michigan University",70,3,"$3.7B : March 2015
$3.6B : March 2016
$4.4B : March 2017
$5.1B : March 2018
$5.8B : March 2019
$4.3B : April 2020
$6.5B : April 2021
$6.8B : April 2022
$6.9B : April 2023
$8.2B : April 2024
",,,,
128,Randa Duncan Williams,$7.4 B,62,Texas,Pipelines,1,ENERGY,3,Pipelines,"Houston, Texas",United States,Married,1,"Bachelor of Arts/Science, Rice University; Doctor of Jurisprudence, University of Houston",62,1,"$6.1B : March 2015
$4.1B : March 2016
$5.7B : March 2017
$5.5B : March 2018
$5.9B : March 2019
$3.6B : April 2020
$6B : April 2021
$6.6B : April 2022
$6.8B : April 2023
$7.7B : April 2024
",,,,
137,Arthur Dantchik,$7.3 B,65,Pennsylvania,"Trading, investments",2,FINANCE & INVESTMENTS,8,"Trading, investments, Self Made","Gladwyne, Pennsylvania",United States,Single,,"Bachelor of Science, SUNY Binghamton",66,2,"$7.2B : April 2023
$7B : April 2024
",,,,
137,John Overdeck,$7.3 B,53,New Jersey,Hedge funds,2,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","Millburn, New Jersey",United States,Married,3,"Bachelor of Arts/Science, Stanford University; Master of Science, Stanford University",54,2,"$3.1B : March 2016
$4.8B : March 2017
$4.9B : March 2018
$6.1B : March 2019
$6.1B : April 2020
$6.5B : April 2021
$6.5B : April 2022
$6.8B : April 2023
$7.3B : April 2024
",,,,
137,David Siegel,$7.3 B,62,New York,Hedge funds,2,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","Scarsdale, New York",United States,Married,,"Ph.D, Massachusetts Institute of Technology; Bachelor of Arts/Science, Princeton University",63,2,"$3.1B : March 2016
$4.8B : March 2017
$4.9B : March 2018
$6.1B : March 2019
$6.1B : April 2020
$6.5B : April 2021
$6.5B : April 2022
$6.8B : April 2023
$7.3B : April 2024
",,,,
140,Bert Beveridge,$7.2 B,61,Texas,Vodka,1,FOOD & BEVERAGE,8,"Vodka, Self Made","Austin, Texas",United States,Married,3,"Bachelor of Arts/Science, University of Texas at Austin",62,1,"$2.5B : March 2018
$4B : March 2019
$3.2B : April 2020
$4.6B : April 2021
$4.5B : April 2022
$4.6B : April 2023
$6.8B : April 2024
",,,,
140,Stephen Bisciotti,$7.2 B,63,Florida,"Staffing, Baltimore Ravens",2,SPORTS,8,"Staffing, Baltimore Ravens, Self Made","Hobe Sound, Florida",United States,Married,2,"Bachelor of Arts/Science, Salisbury State University",64,2,"$2.7B : March 2015
$3B : March 2016
$3.8B : March 2017
$4.2B : March 2018
$4.2B : March 2019
$4.2B : April 2020
$4.9B : April 2021
$5.9B : April 2022
$6.4B : April 2023
$7.2B : April 2024
",,,,
140,Ray Lee Hunt,$7.2 B,80,Texas,"Oil, real estate",2,ENERGY,5,"Oil, real estate","Dallas, Texas",United States,Married,5,"Bachelor of Arts/Science, Southern Methodist University",81,2,"$5.6B : March 2015
$5.3B : March 2016
$4.8B : March 2017
$4.9B : March 2018
$4.7B : March 2019
$4.4B : April 2020
$4.2B : April 2021
$6.5B : April 2022
$5.6B : April 2023
$7.2B : April 2024
",,,,
140,"Robert Rich, Jr.",$7.2 B,82,Florida,Frozen foods,1,FOOD & BEVERAGE,5,Frozen foods,"Islamorada, Florida",United States,Married,4,"Master of Business Administration, Simon School of Business; Bachelor of Arts/Science, Williams College",83,1,"$3.2B : March 2015
$3.5B : March 2016
$4B : March 2017
$5.2B : March 2018
$4.8B : March 2019
$4.4B : April 2020
$4.6B : April 2021
$4.9B : April 2022
$5.2B : April 2023
$7.2B : April 2024
",,,,
144,Ken Fisher,$7.1 B,72,Texas,Money management,1,FINANCE & INVESTMENTS,8,"Money management, Self Made","Dallas, Texas",United States,Married,3,"Bachelor of Arts/Science, Humboldt State University",73,1,"$2.8B : March 2015
$3.1B : March 2016
$3.7B : March 2017
$3.7B : March 2018
$3.5B : March 2019
$3.9B : April 2020
$5.5B : April 2021
$5.3B : April 2022
$6.7B : April 2023
$8.7B : April 2024
",,,,
145,Edythe Broad & family,$7 B,87,California,"Homebuilding, insurance",5,DIVERSIFIED,1,"Homebuilding, insurance","Los Angeles, California",United States,Widowed,2,,88,5,"$6.9B : April 2022
$6.9B : April 2023
$7B : April 2024
",,,,
145,Dennis Washington,$7 B,89,Montana,"Construction, mining",3,LOGISTICS,10,"Construction, mining, Self Made","Missoula, Montana",United States,Married,2,"Diploma, High School",90,3,"$5.9B : March 2015
$5.8B : March 2016
$6B : March 2017
$5.8B : March 2018
$5.9B : March 2019
$5.5B : April 2020
$6.4B : April 2021
$6.9B : April 2022
$6.4B : April 2023
$7B : April 2024
",,,,
147,Micky Arison,$6.9 B,74,Florida,Carnival Cruises,2,SERVICE,5,Carnival Cruises,"Bal Harbour, Florida",United States,Married,2,"Drop Out, University of Miami",75,2,"$7.1B : March 2015
$7.1B : March 2016
$8.1B : March 2017
$9.7B : March 2018
$8.9B : March 2019
$5.1B : April 2020
$6.7B : April 2021
$6.9B : April 2022
$5.5B : April 2023
$8B : April 2024
",,,,
147,"Ernest Garcia, II.",$6.9 B,66,Arizona,Used cars,1,AUTOMOTIVE,9,"Used cars, Self Made","Tempe, Arizona",United States,Married,,"Drop Out, University of Arizona",67,1,"$2.2B : March 2018
$3.2B : March 2019
$2.4B : April 2020
$15.9B : April 2021
$8.6B : April 2022
$3B : April 2023
$8.9B : April 2024
",,,,
147,Josh Harris,$6.9 B,58,Florida,Private equity,2,FINANCE & INVESTMENTS,8,"Private equity, Self Made","Miami, Florida",United States,Married,5,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",59,2,"$2.7B : March 2015
$2.2B : March 2016
$2.7B : March 2017
$3.5B : March 2018
$3.5B : March 2019
$4B : April 2020
$5B : April 2021
$5.8B : April 2022
$5.8B : April 2023
$8.4B : April 2024
",,,,
147,Carl Icahn,$6.9 B,87,Florida,Investments,2,FINANCE & INVESTMENTS,9,"Investments, Self Made","Indian Creek, Florida",United States,Married,2,"Drop Out, New York University; Bachelor of Arts/Science, Princeton University",88,2,"$23.5B : March 2015
$17B : March 2016
$16.6B : March 2017
$16.8B : March 2018
$17.4B : March 2019
$13.8B : April 2020
$15.8B : April 2021
$16.5B : April 2022
$17.5B : April 2023
$5.9B : April 2024
",,,,
147,Leo Koguan,$6.9 B,68,,IT provider,2,TECHNOLOGY,8,"IT provider, Self Made","Singapore, Singapore",United States,Divorced,1,"Master, Columbia University; Law Degree, New York Law School",69,2,"$1B : March 2019
$1.4B : April 2020
$2.2B : April 2021
$6B : April 2022
$5.4B : April 2023
$6B : April 2024
",,,,
147,Douglas Leone,$6.9 B,66,California,Venture capital,2,FINANCE & INVESTMENTS,9,"Venture capital, Self Made","Atherton, California",United States,Married,4,"Master of Science, Columbia University; Bachelor of Arts/Science, Cornell University; Master of Business Administration, MIT Sloan School of Management",67,2,"$2.2B : March 2015
$2.4B : March 2016
$2.9B : March 2017
$3.5B : March 2018
$3.7B : March 2019
$3.5B : April 2020
$5.8B : April 2021
$6.9B : April 2022
$5.3B : April 2023
$7.2B : April 2024
",,,,
153,Jonathan Gray,$6.8 B,53,New York,Investments,2,FINANCE & INVESTMENTS,6,"Investments, Self Made","New York, New York",United States,Married,,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",54,2,"$1.9B : March 2015
$1.4B : March 2016
$1.8B : March 2017
$2.5B : March 2018
$2.8B : March 2019
$3.2B : April 2020
$4.5B : April 2021
$6.8B : April 2022
$4.9B : April 2023
$7.4B : April 2024
",,,,
153,Terrence Pegula,$6.8 B,72,Florida,Natural gas,2,ENERGY,9,"Natural gas, Self Made","Boca Raton, Florida",United States,Married,5,"Bachelor of Science in Engineering, Pennsylvania State University",73,2,"$3.8B : March 2015
$4B : March 2016
$4.1B : March 2017
$4.3B : March 2018
$4.5B : March 2019
$5B : April 2020
$5.4B : April 2021
$5.8B : April 2022
$6.7B : April 2023
$6.8B : April 2024
",,,,
153,Reinhold Schmieding,$6.8 B,68,Florida,Medical devices,None,HEALTHCARE,8,"Medical devices, Self Made","Naples, Florida",United States,Married,2,"Bachelor of Arts/Science, Michigan State University",69,,"$4B : March 2015
$4.1B : March 2016
$4.4B : March 2017
$4.9B : March 2018
$6B : March 2019
$5.3B : April 2020
$6.7B : April 2021
$7.2B : April 2022
$7.7B : April 2023
$7.3B : April 2024
",,,,
156,Mat Ishbia,$6.7 B,43,Michigan,Mortgage lender,1,FINANCE & INVESTMENTS,5,Mortgage lender,"Bloomfield Hills, Michigan",United States,Divorced,3,"Bachelor of Business Administration, Michigan State University",44,1,"$9.7B : April 2021
$4.9B : April 2022
$5.4B : April 2023
$9.9B : April 2024
",,,,
156,Jim Kennedy,$6.7 B,75,Georgia,"Media, automotive",3,MEDIA & ENTERTAINMENT,4,"Media, automotive","Atlanta, Georgia",United States,Married,3,"Bachelor of Arts/Science, University of Denver",76,3,"$8.5B : March 2015
$9.7B : March 2016
$12.2B : March 2017
$13B : March 2018
$9.3B : March 2019
$7.6B : April 2020
$9.4B : April 2021
$7.8B : April 2022
$8.4B : April 2023
$6B : April 2024
",,,,
156,Blair Parry-Okeden,$6.7 B,73,,"Media, automotive",2,MEDIA & ENTERTAINMENT,1,"Media, automotive","New South Wales, Australia",United States,Divorced,2,"Diploma, High School; Bachelor of Arts/Science, University of Denver",74,2,"$8.5B : March 2015
$9.7B : March 2016
$12.2B : March 2017
$13B : March 2018
$9.3B : March 2019
$7.6B : April 2020
$9.4B : April 2021
$7.8B : April 2022
$8.4B : April 2023
$6.1B : April 2024
",,,,
156,Lynsi Snyder,$6.7 B,41,California,In-N-Out Burger,2,FOOD & BEVERAGE,3,In-N-Out Burger,"Glendora, California",United States,Married,,,42,2,"$1.2B : March 2018
$3B : March 2019
$3.6B : April 2020
$3.6B : April 2021
$4.2B : April 2022
$4.2B : April 2023
$6.7B : April 2024
",,,,
156,George Soros,$6.7 B,93,New York,Hedge funds,5,FINANCE & INVESTMENTS,10,"Hedge funds, Self Made","Katonah, New York",United States,Married,5,"Bachelor of Arts/Science, London School of Economics",93,5,"$24.2B : March 2015
$24.9B : March 2016
$25.2B : March 2017
$8B : March 2018
$8.3B : March 2019
$8.3B : April 2020
$8.6B : April 2021
$8.6B : April 2022
$6.7B : April 2023
$6.7B : April 2024
",,,,
161,Vinod Khosla,$6.5 B,68,California,Venture capital,2,TECHNOLOGY,8,"Sun Microsystems, venture capital, Self Made","Portola Valley, California",United States,Married,4,"Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology; Master of Business Administration, Stanford Graduate School of Business",69,2,"$1.7B : March 2015
$1.5B : March 2016
$1.6B : March 2017
$2.3B : March 2018
$2.1B : March 2019
$2B : April 2020
$2.7B : April 2021
$6.9B : April 2022
$4.8B : April 2023
$6.7B : April 2024
",,,,
161,Annette Lerner & family,$6.5 B,93,Maryland,Real estate,1,REAL ESTATE,1,Real estate,"Chevy Chase, Maryland",United States,Widowed,3,,94,1,"$6.5B : April 2023
$6.4B : April 2024
",,,,
161,Michael Milken,$6.5 B,77,California,Investments,3,FINANCE & INVESTMENTS,8,"Investments, Self Made","Los Angeles, California",United States,Married,3,"Bachelor of Arts/Science, University of California, Berkeley; Master of Business Administration, University of Pennsylvania, The Wharton School",78,3,"$2.5B : March 2015
$2.5B : March 2016
$3.6B : March 2017
$3.7B : March 2018
$3.6B : March 2019
$3.7B : April 2020
$3.7B : April 2021
$3.8B : April 2022
$6B : April 2023
$6.5B : April 2024
",,,,
164,Li Ge,$6.4 B,56,,Pharmaceutical ingredients,None,HEALTHCARE,8,"Pharmaceutical ingredients, Self Made","Shanghai, China",United States,Widowed,,"Ph.D, Columbia University",57,,"$2B : March 2018
$3.5B : March 2019
$5B : April 2020
$10.1B : April 2021
$8.8B : April 2022
$5.6B : April 2023
$5.6B : April 2024
",,,,
164,Pierre Omidyar,$6.4 B,56,Hawaii,"EBay, PayPal",5,TECHNOLOGY,8,"EBay, PayPal, Self Made","Honolulu, Hawaii",United States,Married,3,"Bachelor of Arts/Science, Tufts University",57,5,"$8B : March 2015
$7.2B : March 2016
$8B : March 2017
$10.5B : March 2018
$11.4B : March 2019
$11B : April 2020
$21.4B : April 2021
$11.3B : April 2022
$8.8B : April 2023
$6.3B : April 2024
",,,,
164,Charles Simonyi,$6.4 B,75,Washington,Microsoft,2,TECHNOLOGY,6,"Microsoft, Self Made","Medina, Washington",United States,Married,2,"Doctorate, Stanford University; Bachelor of Arts/Science, University of California, Berkeley",75,2,"$1.4B : March 2015
$1.6B : March 2016
$2B : March 2017
$2.5B : March 2018
$2.9B : March 2019
$3.5B : April 2020
$5B : April 2021
$5.8B : April 2022
$5.2B : April 2023
$7.3B : April 2024
",,,,
167,Neil Bluhm,$6.3 B,85,Illinois,Real estate,2,REAL ESTATE,10,"Real estate, Self Made","Chicago, Illinois",United States,Divorced,3,"Doctor of Jurisprudence, Northwestern University; Bachelor of Arts/Science, University of Illinois, Urbana-Champaign",86,2,"$3B : March 2015
$3.4B : March 2016
$3.2B : March 2017
$3.2B : March 2018
$4B : March 2019
$3.7B : April 2020
$5.7B : April 2021
$5.5B : April 2022
$6B : April 2023
$6.3B : April 2024
",,,,
167,Don Vultaggio & family,$6.3 B,71,New York,Beverages,1,FOOD & BEVERAGE,10,"Beverages, Self Made","Port Washington, New York",United States,Married,2,"High School Graduate, High School",72,1,"$3B : March 2018
$3.1B : March 2019
$2.7B : April 2020
$3.8B : April 2021
$3.9B : April 2022
$7B : April 2023
$6.3B : April 2024
",,,,
169,John Brown,$6.2 B,89,Georgia,Medical equipment,2,HEALTHCARE,6,"Medical equipment, Self Made","Atlanta, Georgia",United States,Married,2,"Bachelor of Science in Engineering, Auburn University",89,2,"$2.1B : March 2015
$2.1B : March 2016
$2.7B : March 2017
$3.3B : March 2018
$3.9B : March 2019
$3B : April 2020
$5.2B : April 2021
$5.4B : April 2022
$5.7B : April 2023
$7.7B : April 2024
",,,,
169,Stanley Druckenmiller,$6.2 B,70,New York,Hedge funds,3,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","New York, New York",United States,Married,,"Bachelor of Arts/Science, Bowdoin College",71,3,"$3.1B : March 2015
$4.4B : March 2016
$4.7B : March 2017
$4.7B : March 2018
$4.6B : March 2019
$4.7B : April 2020
$5.6B : April 2021
$6.8B : April 2022
$6.4B : April 2023
$6.2B : April 2024
",,,,
169,Daniel Ziff,$6.2 B,51,New York,Investments,1,FINANCE & INVESTMENTS,4,Investments,"New York, New York",United States,Married,4,"Bachelor of Arts/Science, Columbia University",52,1,"$4.9B : March 2015
$4.8B : March 2016
$4.8B : March 2017
$4.8B : March 2018
$4.8B : March 2019
$5B : April 2020
$5B : April 2021
$5B : April 2022
$5.7B : April 2023
$6.2B : April 2024
",,,,
169,Dirk Ziff,$6.2 B,59,Florida,Investments,1,FINANCE & INVESTMENTS,4,Investments,"North Palm Beach, Florida",United States,Married,2,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Harvard University",60,1,"$4.9B : March 2015
$4.8B : March 2016
$4.8B : March 2017
$4.8B : March 2018
$4.8B : March 2019
$5B : April 2020
$5B : April 2021
$5B : April 2022
$5.7B : April 2023
$6.2B : April 2024
",,,,
169,Robert Ziff,$6.2 B,57,New York,Investments,1,FINANCE & INVESTMENTS,4,Investments,"New York, New York",United States,Married,2,"Doctor of Jurisprudence, Cornell University; Bachelor of Arts/Science, Harvard University",57,1,"$4.9B : March 2015
$4.8B : March 2016
$4.8B : March 2017
$4.8B : March 2018
$4.8B : March 2019
$5B : April 2020
$5B : April 2021
$5B : April 2022
$5.7B : April 2023
$6.2B : April 2024
",,,,
174,Philippe Laffont,$6.1 B,56,New York,Hedge fund,1,FINANCE & INVESTMENTS,8,"Hedge fund, Self Made","New York, New York",United States,Married,,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",56,1,"$1.4B : March 2019
$1.4B : April 2020
$2.1B : April 2021
$6.5B : April 2022
$6.9B : April 2023
$6.1B : April 2024
",,,,
174,Paul Singer,$6.1 B,79,New York,Hedge funds,2,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","New York, New York",United States,In Relationship,2,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Rochester",79,2,"$1.9B : March 2015
$2.2B : March 2016
$2.7B : March 2017
$2.9B : March 2018
$3.2B : March 2019
$3.5B : April 2020
$4.3B : April 2021
$4.3B : April 2022
$5.5B : April 2023
$6.1B : April 2024
",,,,
176,Todd Boehly,$6 B,50,Connecticut,Finance,None,FINANCE & INVESTMENTS,7,"Finance, Self Made","Darien, Connecticut",United States,Married,3,"Bachelor of Business Administration, College of William & Mary",50,,"$4.5B : April 2022
$5.3B : April 2023
$6.1B : April 2024
",,,,
176,William Goldring & family,$6 B,80,Louisiana,alcohol,None,FOOD & BEVERAGE,3,"Hotels, investments","Branford, Connecticut",United States,Widowed,4,"Bachelor of Arts/Science, Northwestern University",66,2,"$4.3B : March 2015
$3.8B : March 2016
$4.4B : March 2017
$5B : March 2018
$4.8B : March 2019
$4.9B : April 2020
$4.9B : April 2021
$5.8B : April 2022
$5.6B : April 2023
$6.1B : April 2024
",,,,
176,Karen Pritzker,$6 B,65,Connecticut,"Hotels, investments",2,FINANCE & INVESTMENTS,8,"Retail, Self Made","New Albany, Ohio",United States,Married,4,"Bachelor of Arts/Science, Ohio State University",86,3,"$7.7B : March 2015
$7.1B : March 2016
$6.4B : March 2017
$6.1B : March 2018
$4.6B : March 2019
$4B : April 2020
$6.1B : April 2021
$5.8B : April 2022
$6B : April 2023
$6B : April 2024
",,,,
176,Les Wexner & family,$6 B,86,Ohio,Retail,3,FASHION & RETAIL,7,"Real estate, Self Made","Atherton, California",United States,Married,3,"Bachelor of Arts/Science, Santa Clara University",85,4,"$4.7B : March 2015
$5.8B : March 2016
$6.4B : March 2017
$6.4B : March 2018
$6.5B : March 2019
$4.3B : April 2020
$6B : April 2021
$5.8B : April 2022
$6.7B : April 2023
$5.8B : April 2024
",,,,
180,John A. Sobrato & family,$5.9 B,84,California,Real estate,4,REAL ESTATE,8,"Facebook, investments, Self Made","Los Angeles, California",United States,Married,1,"Bachelor of Arts/Science, Stanford University; Doctor of Jurisprudence, Stanford University",56,2,"$2.2B : March 2015
$2.7B : March 2016
$2.7B : March 2017
$2.5B : March 2018
$2.5B : March 2019
$2.3B : April 2020
$4.9B : April 2021
$5B : April 2022
$4.2B : April 2023
$7.5B : April 2024
",,,,
180,Peter Thiel,$5.9 B,55,California,"Facebook, investments",2,FINANCE & INVESTMENTS,8,"Real estate management, Self Made","Charleston, South Carolina",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Science, University of Oklahoma",60,1,"$5.2B : April 2023
$5.8B : April 2024
",,,,
182,Robert Faith,$5.8 B,60,South Carolina,Real estate management,1,REAL ESTATE,3,San Francisco 49ers,"Youngstown, Ohio",United States,Married,4,,73,1,"$1.2B : March 2014
$1.9B : March 2016
$2.4B : March 2017
$2.5B : March 2018
$2.5B : March 2019
$3.2B : April 2020
$3.5B : April 2021
$4B : April 2022
$5.1B : April 2023
$5.8B : April 2024
",,,,
182,Denise York & family,$5.8 B,72,Ohio,San Francisco 49ers,1,SPORTS,7,"Private equity, Self Made","Fort Worth, Texas",United States,Married,5,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Washington",81,2,"$2.6B : March 2015
$2.5B : March 2016
$2.5B : March 2017
$2.6B : March 2018
$3.3B : March 2019
$3.7B : April 2020
$4.1B : April 2021
$4.5B : April 2022
$6.5B : April 2023
$6.4B : April 2024
",,,,
184,David Bonderman,$5.7 B,80,Texas,Private equity,2,FINANCE & INVESTMENTS,7,"Investments, Self Made","New York, New York",United States,Married,,"Bachelor of Arts/Science, Williams College",49,2,"$2.1B : March 2015
$2.4B : March 2016
$1.9B : March 2017
$2.2B : March 2018
$3.1B : March 2019
$4.5B : April 2020
$10.3B : April 2021
$10.3B : April 2022
$8.5B : April 2023
$5.7B : April 2024
",,,,
184,"Chase Coleman, III.",$5.7 B,48,New York,Investments,2,FINANCE & INVESTMENTS,4,Toyota dealerships,"Houston, Texas",United States,Married,4,"Bachelor of Arts/Science, Georgetown University; Master of Business Administration, Rice University",59,3,"$3.3B : March 2015
$3.5B : March 2016
$3.6B : March 2017
$4B : March 2018
$4B : March 2019
$3.3B : April 2020
$4.1B : April 2021
$4.3B : April 2022
$5.5B : April 2023
$6.4B : April 2024
",,,,
184,Dan Friedkin,$5.7 B,58,Texas,Toyota dealerships,3,AUTOMOTIVE,3,Gas stations,"Knoxville, Tennessee",United States,Married,3,"Bachelor of Arts/Science, Emory University",65,1,"$1.9B : March 2015
$1.6B : March 2016
$2.6B : March 2017
$2.3B : March 2018
$1.8B : March 2019
$1.6B : April 2020
$1.9B : April 2021
$2.3B : April 2022
$2.5B : April 2023
$5.1B : April 2024
",,,,
184,Bill Haslam,$5.7 B,65,Tennessee,Gas stations,1,FASHION & RETAIL,8,"Private equity, Self Made","New York, New York",United States,Married,,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School",61,2,"$2.5B : March 2015
$2.2B : March 2016
$2.7B : March 2017
$3.2B : March 2018
$3B : March 2019
$3.2B : April 2020
$4B : April 2021
$4.8B : April 2022
$4.5B : April 2023
$6.5B : April 2024
",,,,
184,Marc Rowan,$5.7 B,61,New York,Private equity,2,FINANCE & INVESTMENTS,7,"FedEx, Self Made","Memphis, Tennessee",United States,Married,10,"Bachelor of Arts/Science, Yale University",79,1,"$3.9B : March 2015
$3.1B : March 2016
$4.3B : March 2017
$5.1B : March 2018
$4.1B : March 2019
$2.7B : April 2020
$5.7B : April 2021
$4.7B : April 2022
$4.6B : April 2023
$5.6B : April 2024
",,,,
184,Fred Smith,$5.7 B,79,Tennessee,FedEx,1,LOGISTICS,8,"Finance, asset management, Self Made","Chicago, Illinois",United States,Married,1,"Bachelor of Arts/Science, Creighton University; Doctor of Jurisprudence, Northwestern University",64,2,"$1.9B : March 2015
$2.2B : March 2016
$2.5B : March 2017
$2.8B : March 2018
$3.1B : March 2019
$2.7B : April 2020
$4.7B : April 2021
$4.3B : April 2022
$5.3B : April 2023
$6B : April 2024
",,,,
184,Mark Walter,$5.7 B,63,Illinois,"Finance, asset management",2,FINANCE & INVESTMENTS,10,"Plush toys, real estate, Self Made","Oak Brook, Illinois",United States,Single,,"Drop Out, Kalamazoo College",79,2,"$2.4B : March 2015
$2.4B : March 2016
$2.5B : March 2017
$2.7B : March 2018
$2.6B : March 2019
$2.6B : April 2020
$3.6B : April 2021
$4.3B : April 2022
$5.2B : April 2023
$5.6B : April 2024
",,,,
184,Ty Warner,$5.7 B,79,Illinois,"Plush toys, real estate",2,REAL ESTATE,8,"Software, Self Made","Woodside, California",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, University of Southern California",72,3,"$1.9B : March 2015
$1.9B : March 2016
$2.3B : March 2017
$3.2B : March 2018
$3.5B : March 2019
$2.9B : April 2020
$4.2B : April 2021
$4.7B : April 2022
$4.1B : April 2023
$6.4B : April 2024
",,,,
192,Scott Cook,$5.6 B,71,California,Software,3,TECHNOLOGY,9,"Payroll services, Self Made","Naples, Florida",United States,Married,2,"Associate in Arts/Science, SUNY Tech Alfred",82,2,"$2.4B : March 2015
$2.5B : March 2016
$3B : March 2017
$3.2B : March 2018
$3.5B : March 2019
$3.2B : April 2020
$4.2B : April 2021
$5.4B : April 2022
$4.9B : April 2023
$5.6B : April 2024
",,,,
192,Tom Golisano,$5.6 B,81,Florida,Payroll services,2,SERVICE,8,"Investment research, Self Made","Chicago, Illinois",United States,Married,3,"Bachelor of Arts/Science, University of Chicago",67,2,"$2.2B : March 2015
$2.1B : March 2016
$2.2B : March 2017
$2.5B : March 2018
$3.3B : March 2019
$2.8B : April 2020
$5.2B : April 2021
$5.7B : April 2022
$4.4B : April 2023
$6.5B : April 2024
",,,,
192,Joe Mansueto,$5.6 B,67,Illinois,Investment research,2,FINANCE & INVESTMENTS,2,"Energy, sports","Houston, Texas",United States,Widowed,4,"Bachelor of Arts/Science, Columbia College",87,2,"$3.8B : March 2019
$4B : April 2020
$4.1B : April 2021
$4.2B : April 2022
$5B : April 2023
$5.6B : April 2024
",,,,
192,Janice McNair,$5.6 B,87,Texas,"Energy, sports",2,SPORTS,4,"Hotels, investments","Chicago, Illinois",United States,Married,3,"Bachelor of Arts/Science, Claremont McKenna College; Doctor of Jurisprudence, University of Chicago; Master of Business Administration, University of Chicago",74,2,"$3.2B : March 2015
$2.7B : March 2016
$3.2B : March 2017
$4.1B : March 2018
$4.1B : March 2019
$3.1B : April 2020
$4.5B : April 2021
$5B : April 2022
$5.3B : April 2023
$6.7B : April 2024
",,,,
192,Thomas Pritzker,$5.6 B,73,Illinois,"Hotels, investments",2,FINANCE & INVESTMENTS,8,"Agriculture, Self Made","Beverly Hills, California",United States,Married,5,,81,3,"$5.3B : April 2023
$5.6B : April 2024
",,,,
192,Lynda Resnick,$5.6 B,80,California,Agriculture,3,FOOD & BEVERAGE,8,"Agriculture, Self Made","Beverly Hills, California",United States,Married,5,,87,3,"$5.3B : April 2023
$5.6B : April 2024
",,,,
